path,annotations
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000285.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000330.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000354.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000468.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000495.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000531.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000558.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000587.png,[{"label":"house_number-90","type":"rectangle","coordinates":{"x":2661,"y":809,"width":79,"height":67}}]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000614.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000638.png,[{"label":"house_number-90","type":"rectangle","coordinates":{"x":3054,"y":819,"width":79,"height":74}}]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000663.png,[{"label":"house_number-90","type":"rectangle","coordinates":{"x":3207,"y":853,"width":58,"height":60}}]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000693.png,[{"label":"house_number-90","type":"rectangle","coordinates":{"x":3330,"y":897,"width":45,"height":45}}]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000717.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000747.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000771.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000798.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000825.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000852.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000876.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000942.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_000968.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001010.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001032.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001055.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001079.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001143.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001196.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001218.png,[{"label":"house_number-56","type":"rectangle","coordinates":{"x":2477,"y":863,"width":25,"height":19}}]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001245.png,[{"label":"house_number-56","type":"rectangle","coordinates":{"x":2692,"y":851,"width":39,"height":27}}]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001272.png,[{"label":"house_number-56","type":"rectangle","coordinates":{"x":2962,"y":874,"width":37,"height":30}}]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001296.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001319.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001341.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001365.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001391.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001416.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001445.png,[{"label":"street_sign-saint_zotique","type":"rectangle","coordinates":{"x":2187,"y":742,"width":90,"height":25}}]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001473.png,[]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001518.png,[{"label":"street_sign-saint_zotique","type":"rectangle","coordinates":{"x":2842,"y":774,"width":98,"height":38}}]
/Users/martinweiss/code/academic/hyrule-gym/data/data/corl/panos/pano_001548.png,[{"label":"street_sign-saint_zotique","type":"rectangle","coordinates":{"x":3120,"y":817,"width":85,"height":37}}]
