,timestamp,x,y,z,angle
0,0.0,7.8e-06,-1.51e-05,0.0,0.0
1,4.4,0.026537,-0.0059144,0.0,358.1414002088555
2,4.433333,0.0272289,-0.0059352,0.0,358.14249175448606
3,7.5,0.0414701,-0.0150272,0.0,354.208392548667
4,8.433333,0.0745378,-0.0186028,0.0,353.30252505651487
5,8.5,0.0879511,-0.0234398,0.0,353.0187861939239
6,8.6,0.1151898,-0.0323991,0.0,351.5590766888665
7,8.7,0.14931,-0.036911,0.0,352.21290857283327
8,8.8,0.1817862,-0.0483523,0.0,352.7208790442562
9,9.066667,0.2906628,-0.0829426,0.0,355.72034879521186
10,9.2,0.3428648,-0.0989691,0.0,355.7812858441661
11,9.333333,0.4140989,-0.1012999,0.0,355.99254866772225
12,9.5,0.5049238,-0.1072328,0.0,355.9105032374517
13,9.666667,0.5975538,-0.1181629,0.0,355.0023103132681
14,9.833333,0.7025366,-0.1362237,0.0,355.22528584827296
15,10.166667,0.8875033,-0.180104,0.0,357.6248671751295
16,11.033333,1.4225808,-0.2499471,0.0,354.97993086782964
17,11.233333,1.5489405,-0.264018,0.0,358.9559806012082
18,11.633333,1.8029824,-0.2915922,0.0,358.0509818768446
19,11.833333,1.9490327,-0.3003687,0.0,355.69571617324806
20,12.033333,2.0863571,-0.3232746,0.0,355.9279448740344
21,12.233333,2.2277365,-0.3393193,0.0,358.3731084680976
22,15.6,4.6277299,-0.4228975,0.0,358.2712885266715
23,16.533333,5.2698607,-0.4345893,0.0,359.1703491497521
24,17.0,5.5792799,-0.438529,0.0,357.81081931800617
25,17.233333,5.7457314,-0.4507106,0.0,358.4014006475879
26,17.7,6.082819,-0.4513761,0.0,358.5076693221662
27,18.633333,6.7477489,-0.4782935,0.0,0.6799226047246276
28,18.866667,6.9048567,-0.4942707,0.0,359.74294536626695
29,19.1,7.062006,-0.5010765,0.0,1.6426978884768135
30,19.566667,7.3793302,-0.5273128,0.0,0.9491924520940355
31,19.966667,7.6574221,-0.5393447,0.0,357.07153794941024
32,20.133333,7.7679133,-0.5507684,0.0,354.8795427855919
33,20.466667,7.9781995,-0.5733569,0.0,355.8308614574658
34,20.933333,8.3097115,-0.5760952,0.0,356.9337327460374
35,21.266667,8.5312958,-0.5797275,0.0,0.15960781538973606
36,21.433333,8.6403494,-0.5831194,0.0,358.9351621915442
37,21.6,8.7444763,-0.5814683,0.0,358.0736304669331
38,21.766667,8.8419313,-0.5828317,0.0,356.61527159579373
39,21.933333,8.9414253,-0.5834197,0.0,354.2212503643042
40,22.1,9.0397367,-0.5886187,0.0,354.7135842083303
41,22.466667,9.2696419,-0.6009365,0.0,357.8797370597008
42,22.633333,9.3692312,-0.5991784,0.0,358.80121207863414
43,22.8,9.4673176,-0.5921539,0.0,359.54879758887535
